Nº alertas = 318
 [1:1071:15] "SERVER-WEBAPP .htpasswd access attempt" 
 [1:2003672:9] ET WEB_SPECIFIC_APPS PMECMS Remote Inclusion Attempt -- mod_image_index.php config pathMod 
 [1:2003673:8] ET WEB_SPECIFIC_APPS PMECMS Remote Inclusion Attempt -- mod_liens_index.php config pathMod 
 [1:2003674:8] ET WEB_SPECIFIC_APPS PMECMS Remote Inclusion Attempt -- mod_liste_index.php config pathMod 
 [1:2003675:8] ET WEB_SPECIFIC_APPS PMECMS Remote Inclusion Attempt -- mod_special_index.php config pathMod 
 [1:2003676:8] ET WEB_SPECIFIC_APPS PMECMS Remote Inclusion Attempt -- mod_texte_index.php config pathMod 
 [1:2017440:1] ET WEB_SERVER PHP SESSION SuperGlobal in URI 
 [1:2009415:4] ET WEB_SPECIFIC_APPS PhpBlock basicfogfactory.class.php PATH_TO_CODE Parameter Remote File Inclusion 
 [1:2003660:7] ET WEB_SPECIFIC_APPS Persism CMS Remote Inclusion Attempt - Headerfile.php System 
 [1:2003661:7] ET WEB_SPECIFIC_APPS Persism CMS Remote Inclusion Attempt -- latest_files.php System 
 [1:2003664:7] ET WEB_SPECIFIC_APPS Persism CMS Remote Inclusion Attempt -- filters_headerfile.php System 
 [1:2010484:3] ET WEB_SPECIFIC_APPS FormMailer formmailer.admin.inc.php BASE_DIR Parameter Remote File Inclusion Attempt 
 [1:2003662:7] ET WEB_SPECIFIC_APPS Persism CMS Remote Inclusion Attempt -- latest_posts.php System 
 [1:2009372:4] ET WEB_SPECIFIC_APPS Boonex Dolphin content.inc.php Remote File Inclusion 
 [1:2003663:7] ET WEB_SPECIFIC_APPS Persism CMS Remote Inclusion Attempt -- groups_headerfile.php System 
 [1:2003665:7] ET WEB_SPECIFIC_APPS Persism CMS Remote Inclusion Attempt -- links.php System 
 [1:2003666:7] ET WEB_SPECIFIC_APPS Persism CMS Remote Inclusion Attempt -- menu_headerfile.php System 
 [1:2003667:7] ET WEB_SPECIFIC_APPS Persism CMS Remote Inclusion Attempt -- latest_news.php System 
 [1:2003668:7] ET WEB_SPECIFIC_APPS Persism CMS Remote Inclusion Attempt -- settings_headerfile.php System 
 [1:2003681:7] ET WEB_SPECIFIC_APPS Persism CMS Remote Inclusion Attempt -- users_headerfile.php System 
 [1:2003694:5] ET WEB_SPECIFIC_APPS NoAH Remote Inclusion Attempt -- mfa_theme.php tpls 
 [1:2002898:8] ET WEB_SPECIFIC_APPS PHP Web Calendar Remote File Inclusion Attempt 
 [1:2009887:5] ET WEB_SPECIFIC_APPS ProjectButler RFI attempt 
 [1:2003705:6] ET WEB_SPECIFIC_APPS TellTarget CMS Remote Inclusion site_conf.php ordnertiefe 
 [1:2003706:6] ET WEB_SPECIFIC_APPS TellTarget CMS Remote Inclusion class.csv.php tt_docroot 
 [1:2003707:6] ET WEB_SPECIFIC_APPS TellTarget CMS Remote Inclusion produkte_nach_serie.php tt_docroot 
 [1:2003708:6] ET WEB_SPECIFIC_APPS TellTarget CMS Remote Inclusion ref_kd_rubrik.php tt_docroot 
 [1:2003715:6] ET WEB_SPECIFIC_APPS TellTarget CMS Remote Inclusion ref_kd_rubrik.php tt_docroot 
 [1:2003709:6] ET WEB_SPECIFIC_APPS TellTarget CMS Remote Inclusion hg_referenz_jobgalerie.php tt_docroot 
 [1:2003711:6] ET WEB_SPECIFIC_APPS TellTarget CMS Remote Inclusion produkte_nach_serie_alle.php tt_docroot 
 [1:2003713:6] ET WEB_SPECIFIC_APPS TellTarget CMS Remote Inclusion referenz.php tt_docroot 
 [1:2003712:6] ET WEB_SPECIFIC_APPS TellTarget CMS Remote Inclusion surfer_aendern.php tt_docroot 
 [1:2003710:6] ET WEB_SPECIFIC_APPS TellTarget CMS Remote Inclusion surfer_anmeldung_NWL.php tt_docroot 
 [1:2003714:6] ET WEB_SPECIFIC_APPS TellTarget CMS Remote Inclusion lay.php tt_docroot 
 [1:2003867:6] ET WEB_SPECIFIC_APPS TellTarget CMS Remote Inclusion 3_lay.php tt_docroot 
 [1:2003693:7] ET WEB_SPECIFIC_APPS PHPtree Remote Inclusion Attempt -- cms2.php s_dir 
 [1:2009370:4] ET WEB_SPECIFIC_APPS Boonex Dolphin HTMLSax3.php Remote File Inclusion 
 [1:2009371:4] ET WEB_SPECIFIC_APPS Boonex Dolphin safehtml.php Remote File Inclusion 
 [1:2008964:4] ET WEB_SPECIFIC_APPS lcxBBportal Alpha portal_block.php phpbb_root_path parameter Remote File Inclusion 
 [1:2009504:4] ET WEB_SPECIFIC_APPS Quantum Game Library smarty.inc.php CONFIG Parameter Remote File Inclusion 
 [1:2009502:4] ET WEB_SPECIFIC_APPS Quantum Game Library server_request.php CONFIG Parameter Remote File Inclusion 
 [1:2009723:4] ET WEB_SPECIFIC_APPS QuickTeam qte_web.php qte_web_path Parameter Remote File Inclusion 
 [1:2003702:8] ET WEB_SPECIFIC_APPS Pixaria Gallery Remote Inclusion class.Smarty.php cfg sys base_path 
 [1:2009325:4] ET WEB_SPECIFIC_APPS phPortal gunaysoft.php icerikyolu Parameter Remote File Inclusion 
 [1:2009326:4] ET WEB_SPECIFIC_APPS phPortal gunaysoft.php sayfaid Parameter Remote File Inclusion 
 [1:2008962:4] ET WEB_SPECIFIC_APPS PHPmyGallery confdir parameter Remote File Inclusion 
 [1:2009164:4] ET WEB_SPECIFIC_APPS openEngine filepool.php oe_classpath parameter Remote File Inclusion 
 [1:2003720:7] ET WEB_SPECIFIC_APPS gnuedu Remote Inclusion Attempt -- check-lom.php ETCDIR 
 [1:2003719:7] ET WEB_SPECIFIC_APPS gnuedu Remote Inclusion Attempt -- lom_update.php ETCDIR 
 [1:2003721:7] ET WEB_SPECIFIC_APPS gnuedu Remote Inclusion Attempt -- weigh_keywords.php ETCDIR 
 [1:2009123:4] ET WEB_SPECIFIC_APPS SezHoo SezHooTabsAndActions.php IP Parameter Remote File Inclusion 
 [1:2009506:4] ET WEB_SPECIFIC_APPS Falcon Series One sitemap.xml.php dir Parameter Remote File Inclusion 
 [1:2009229:5] ET WEB_SPECIFIC_APPS TECHNOTE shop_this_skin_path Parameter Remote File Inclusion 
 [1:2003741:7] ET WEB_SPECIFIC_APPS Open Translation Engine Remote Inclusion Attempt -- header.php ote_home 
 [1:2003743:7] ET WEB_SPECIFIC_APPS PHPChess Remote Inclusion Attempt -- layout_admin_cfg.php Root_Path 
 [1:2003744:7] ET WEB_SPECIFIC_APPS PHPChess Remote Inclusion Attempt -- layout_cfg.php Root_Path 
 [1:2003745:7] ET WEB_SPECIFIC_APPS PHPChess Remote Inclusion Attempt -- layout_t_top.php Root_Path 
 [1:2009071:4] ET WEB_SPECIFIC_APPS phpSkelSite theme parameter remote file inclusion 
 [1:2008996:4] ET WEB_SPECIFIC_APPS Simple Text-File Login script slogin_path parameter remote file inclusion 
 [1:2009179:4] ET WEB_SPECIFIC_APPS SnippetMaster vars.inc.php _SESSION Parameter Remote File Inclusion 
 [1:2019524:5] ET WEB_SPECIFIC_APPS BASE base_stat_common.php remote file include 
 [1:2002901:7] ET WEB_SPECIFIC_APPS PHP Aardvark Topsites PHP CONFIG PATH Remote File Include Attempt 
 [1:2009333:4] ET WEB_SPECIFIC_APPS ODARS resource_categories_view.php CLASSES_ROOT parameter Remote file inclusion 
 [1:2009733:4] ET WEB_SPECIFIC_APPS Golabi index_logged.php cur_module Parameter Remote File Inclusion 
 [1:2003669:7] ET WEB_SPECIFIC_APPS TopTree Remote Inclusion Attempt -- tpl_message.php right_file 
 [1:2009656:6] ET WEB_SPECIFIC_APPS SMA-DB format.php _page_content Parameter Remote File Inclusion 
 [1:2009653:7] ET WEB_SPECIFIC_APPS SMA-DB format.php _page_css Parameter Remote File Inclusion 
 [1:2009378:4] ET WEB_SPECIFIC_APPS Acute Control Panel container.php theme_directory parameter remote file inclusion 
 [1:2009717:5] ET WEB_SPECIFIC_APPS 1024 CMS standard.php page_include Parameter Remote File Inclusion 
 [1:2009379:4] ET WEB_SPECIFIC_APPS Acute Control Panel header.php theme_directory parameter remote file inclusion 
 [1:2014180:2] ET WEB_SPECIFIC_APPS SAPID get_infochannel.inc.php Remote File inclusion Attempt 
 [1:2010254:3] ET WEB_SPECIFIC_APPS Ve-EDIT edit_htmlarea.php highlighter Parameter Remote File Inclusion 
 [1:2003716:8] ET WEB_SPECIFIC_APPS LaVague Remote Inclusion Attempt -- printbar.php views_path 
 [1:2017436:1] ET WEB_SERVER PHP SERVER SuperGlobal in URI 
 [1:2003692:7] ET WEB_SPECIFIC_APPS VM Watermark Remote Inclusion Attempt -- watermark.php GALLERY_BASEDIR 
 [1:2003747:7] ET WEB_SPECIFIC_APPS gnuedu Remote Inclusion Attempt -- lom.php ETCDIR 
 [1:2003686:7] ET WEB_SPECIFIC_APPS Wordpress Remote Inclusion Attempt -- wordtube-button.php wpPATH 
 [1:2009190:4] ET WEB_SPECIFIC_APPS YACS update_trailer.php context Parameter Remote File Inclusion 
 [1:2011160:6] ET WEB_SERVER Apache Axis2 xsd Parameter Directory Traversal Attempt 
Nº de alertas totales: 4145
